question,answer,school,stage,category,risk_level,source_url,updated_at
H01. Can you give me an estimated cost for studying at CityUHK as a non-local student?,"For government-funded programmes, the tuition fee for non-local students is HKD190,000 per annum for students admitted in 2026 (the tuition fee may be adjusted if there are changes to the tuition fee set by the HKSAR Government). For non-government funded programmes, the tuition fees are charged on a credit unit basis and vary for individual programmes and the fees are set at a higher level. For details of our tuition fees, please refer to the online programme information. Student Accommodation Please visit our Student Residence Office (SRO) websites on Master’s degree students and/or Off-campus Accommodation for the latest information. For enquiries, please contact SRO: Ma On Shan (MOS) Compound Email: sropga.mos@cityu.edu.hk Kowloon Tong (KLNT) Compound Email: sropga@cityu.edu.hk Cost of Living The cost of living varies depending on individuals lifestyle choices. The average cost of living in Hong Kong (excluding tuition and accommodation fees) is estimated to be HKD50,000 (approx. USD6,400) per 2 semesters, including meals, transport, laundry and education expenses such as books and stationery. Students may also need to budget for overseas learning activities and emergency medical expenses, etc. I - Visiting Study (applicable to non-local applicants)",CityU,general,housing,high,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
I01. Can I apply for admission as a visiting student?,"If you are interested in taking courses on a short-term basis (less than one academic year), you may apply for admission as a visiting student. For details, please refer to the visiting postgraduate students website. About CityUHK Introduction",CityU,general,general,low,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
Why CityUHK,"Students and Alumni Sharing Facilities & Supports Research Degree Programmes Introduction Research Areas Entrance Requirements Steps & Procedures Scholarships, Financial Aid & Fees HK PhD Fellowship Scheme Apply Now Professional Doctorate Programmes Introduction Programme List Steps & Procedures",CityU,general,payment,medium,https://www.cityu.edu.hk/pg/taught-postgraduate-programmes/faq,2026-06-29
Q1: What distinguishes research from taught programmes?,"Research programmes (e.g. MPhil, PhD) (https://www.gs.cuhk.edu.hk/programmes/study-options#rpg) primarily focus on research work and require students to have a strong research background. Besides coursework, students must submit a thesis and pass an oral defence conducted by the Thesis Assessment Committee to graduate. Taught programmes (e.g. MA, MBA, MSc, MSSc) (https://www.gs.cuhk.edu.hk/programmes/study-options#tpg) focus on coursework and usually don't require a thesis. Students complete a specified number of courses to fulfil the credit requirement for graduation.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q2: What are the normative and maximum study periods?,"Normative study period: The standard duration for students to complete their programmes according to the prescribed study scheme. Most students graduate within this timeframe. Maximum study period: The longest duration allowed for students to complete their programmes. Exceeding this limit requires discontinuation of studies, with exceptions granted by the Graduate Council only in highly exceptional circumstances. Programmes may have varying normative and maximum study periods. For details, refer to Study Options (https://www.gs.cuhk.edu.hk/programmes/study-options)",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q3: When does the new academic year start?,"For postgraduate programmes, the academic year typically begins in August and ends in July of the following year.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q4: Can I enrol in multiple programmes simultaneously?,"Students must obtain advance approval from the Graduate Division, Faculty, and Graduate Council to register for multiple programmes at CUHK or other institutions. Violators may face discontinuation of studies.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q5: Is it permissible to work while studying?,"Full-time postgraduate students are not allowed to take up any full-time employment, paid or unpaid, during term time, except as stated in Employment section of the Code of Practice. Postgraduate Studentship (PGS) recipients may take up research or studies related remunerative engagements (full-time or part-time) within their normative study period. Students will need to take in-residence leave and relinquish or deduct the PGS during the period concerned. Prior endorsement from their thesis Supervisor and Head of the Graduate Division, and approval of the Dean of Graduate School are required. PGS holders may take up part-time on-campus employment up to 50 hours per academic year. If the engagement concerned is requested by the students’ Graduate Division, the ceiling will be a total of 100 hours per academic year. The approval authority rests with the Head of the Graduate Division. However, applications that exceed the ceiling should be submitted to the Dean of Graduate School for prior approval.",CUHK,general,general,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q6: Where can I find information about on-campus accommodation?,Visit the Postgraduate Halls website (https://www.pgh.cuhk.edu.hk) or contact them directly at enquiry@pgh.cuhk.edu.hk for more information. Application for Admission,CUHK,general,housing,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q1: Are there differences between local and non-local applicant processes?,Application procedures (https://www.gs.cuhk.edu.hk/admissions/how-to-apply) and requirements (https://www.gs.cuhk.edu.hk/admissions/requirements),CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
are identical. Non-local applicants must obtain a valid visa/entry permit from the,HKSAR Government's Immigration Department (https://www.immd.gov.hk/eng/index.html) before studying in Hong Kong.,CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q2: Can bachelor's degree holders apply for doctoral programmes?,Most doctoral programmes require a master's degree. Some Graduate Divisions offer MPhil–PhD Programmes,CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
where bachelor's degree holders with at least Second Class honours may apply for the PhD stream. Consult,Study Options (https://www.gs.cuhk.edu.hk/programmes/study-options) and Requirements (https://www.gs.cuhk.edu.hk/admissions/requirements) for details.,CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q3: Can final-year undergraduates apply?,"Yes, final year undergraduate can apply for postgraduate programmes admission. Please submit your latest official transcript. If accepted, provide an official final transcript and degree certificate upon admission.",CUHK,general,general,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q4: Is meeting English Language Requirements mandatory?,"Yes. Refer to Admissions Requirements (https://www.gs.cuhk.edu.hk/admissions/requirements) for details. Some programmes may have specific English language requirements for admission, you are advised to visit the individual programme pages (https://www.gs.cuhk.edu.hk/programmes) for more details.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q5: Is IELTS for UKVI (Academic) accepted?,"Yes, it fulfils the English language requirements.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
"Q6: Do you accept TOEFL ""MyBest Score"" or IELTS ""One Skill Retake""?","No, we only accept the test result from each individual attempt.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q7: Is CET6 score accepted for English requirements?,"No, CET6 is not accepted. Refer to English language requirements (https://www.gs.cuhk.edu.hk/admissions/requirements) for alternatives.",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q8: What supporting documents are needed?,"Applicants must submit the required supporting documents listed in Documents Required (https://www.gs.cuhk.edu.hk/admissions/documents-required) . After submitting your application, upload the documents to the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) by the programme deadline.",CUHK,general,general,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q9: Are hardcopy application forms available?,"No, in response to the University's sustainability initiatives, no hardcopy application forms are available. Applicants must submit their applications online via the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx)",CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q10: Can I apply for multiple programmes with one application?,"You can apply for multiple programmes, but you must submit separate applications and pay the application fees for each programme. The paid application fee is non-refundable and non-transferable. If admitted to multiple programmes, you can only enrol in one. All fees paid to the previous programmes will not be refunded or transferred.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q11: When should I apply?,"Programmes accept applications from September onwards and deadlines vary for each programme. For the Hong Kong PhD Fellowship Scheme (HKPFS) (https://www.gs.cuhk.edu.hk/admissions/scholarships-fees/hkpfs) , the deadline is 1 December 2025 at 11:59pm (Hong Kong Time). Check Application Deadlines (https://www.gs.cuhk.edu.hk/admissions/application-deadline) relevant programme pages (https://www.gs.cuhk.edu.hk/programmes) for details.",CUHK,general,payment,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q12: What's the application fee and payment method?,"The application fee is HK$500 per programme (except for MBA, MBA in Finance and MSc in Finance). The fee is non-refundable and non-transferable. Payment should be made online by credit card when submitting the application.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q13: How do I check my application and payment status?,Log in to the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) to check your application status and pay the application fee by credit card. The application fee is non-refundable and non-transferable. Financial support for Research Postgraduate (RPg) Students,CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q1: What financial assistance is available to RPg students? How to apply?,Full-time research postgraduate programme applicants are automatically considered for Postgraduate Studentships (PGS) (https://www.gs.cuhk.edu.hk/admissions/scholarships-fees/studentships) by their programme's Graduate Division. No separate application is needed. Local full-time students in UGC-funded RPg programmes are eligible for the Government's Tuition Waiver Scheme for Local Research Postgraduate (RPg) (https://www.gs.cuhk.edu.hk/admissions/scholarships-fees/scholarships#waiver) Students. This non-mean-tested scheme waives tuition for eligible local students during their normative study period.,CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q2: What are UGC-funded RPg programmes? Do they include part-time programmes?,"All our full-time RPg programmes are UGC-funded, while part-time RPg programmes are not. Full-time RPg students without PGS are considered self-financed. Part-time and self-financed local full-time RPg students are ineligible for the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q3: I have an IANG visa. Am I eligible for the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students?,"Students with any Hong Kong visa type (including student, dependent, and IANG) or entry permit are ineligible for this Scheme.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q4: I'm a current local full-time student receiving University PGS. Am I eligible for the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students?,"To avoid double benefit situations, should the RPg student’s tuition fee be fully waived by any other scheme, then they cannot qualify for the tuition waiver. Should the tuition fee be partially waived, then the RPg students can still qualify for the remaining tuition waiver. Scholarships, awards or stipends, which do not aim to cover the tuition fees, do not affect the waiver.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q5: My tuition fee is waived by the University. Am I eligible for the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students?,"Students with fully waived tuition fees are ineligible. However, those with partially waived fees can receive Scheme coverage for the remaining portion.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
"Q6: If I receive the Hong Kong PhD Fellowship Scheme or other scholarships, am I still eligible for the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students?","Local recipients of the Hong Kong PhD Fellowship Scheme or other scholarships are eligible if their scholarships, awards, or stipends don't cover tuition fees.",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
"Q7: As a Hong Kong PhD Fellowship Scheme recipient, will I receive both the CUHK Vice-Chancellor HKPFS Scholarship and the Tuition Waiver Scheme for Local Research Postgraduate (RPg) Students?","The CUHK Vice-Chancellor HKPFS Scholarship include a tuition fee waiver for the recipient’s normative study period. While local recipients enrolled in the UGC-funded RPg full-time programmes also qualify for the Tuition Waiver for Local RPg Students for their normative study period, the waived tuition fees will not translate into additional sums for the local HKPFS awardee to collect. Offer Acceptance and Registration",CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q1: When will I receive my admission offer?,Admission offers are normally made between November to June of the following year. Applicants can check their application status via the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx),CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q2: How can I check my offer?,Applicants can log in to the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) to check their application results and download the Admission Notification.,CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
How to Register (https://www.gs.cuhk.edu.hk/registration/how-to-register),"for provisional registration. However, please note that your student status is not yet confirmed and you will NOT be allowed to begin your studies until you have fulfilled all the specified condition(s) and have your academic qualification verified by the deadline mentioned in the Admission Notification.",CUHK,general,registration,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q4: I am currently a final-year undergraduate student. Do I need to re-submit an official transcript if the transcript I submitted during my application is final?,Yes. You are still required to apply for a final official transcript after the completion of your Bachelor’s programme or the announcement of your honours classification (if applicable). Please arrange for the official e-copy or hard copy transcript to be sent directly from your university to the Programme Office (for taught programmes) or the Graduate School (for research programmes).,CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q5: What if I cannot provide documents to fulfil the admission condition(s) by the deadline?,"If you cannot provide document(s) to fulfil the admission condition(s) mentioned in the Admission Notification, your admission offer will be withdrawn. You may seek advice or assistance from the relevant Graduate Division/Programme if necessary. You are also required to have your academic qualifications verified before the admission date",CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q6: Can I defer the admission date?,"You may contact your Graduate Division/Programme first to see if you could defer your admission date. If the deferral is allowed, please complete and return the ""Application Form for Deferred Admission” available on the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) to the relevant Division/Programme after accepting the admission offer online and making the deposit payment. The admission can be deferred for a maximum of one year from the original admission date.",CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q7: When do I need to settle the deposit after accepting an admission offer?,The payment due date for deposit payment is specified in your admission notification. You may refer to the payment advice at the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) for various payment methods as well as other relevant details.,CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q8: Can I defer the acceptance of the admission offer and the deposit payment?,"You may contact your Graduate Division/Programme to see if your deferral request could be accepted. If it is accepted, you may complete and return the ""Application Form for Deferred Acceptance of Admission Offer"" at the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) to the respective Division/Programme. Please note that the acceptance of an admission offer cannot be deferred beyond the admission date.",CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q9: How can I settle the tuition fee?,"The tuition fee is normally settled on a term basis. Students will receive a fee note via email about two weeks before the payment due date. For details, please refer to Notes on Payment of Student Fees (https://www.fno.cuhk.edu.hk/student/student-fees/faq/)",CUHK,general,payment,medium,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q10: How can I update my contact information after accepting the admission offer?,"After completing the deposit payment and online registration, you may update your contact information at MyCUHK. (https://portal.cuhk.edu.hk/)",CUHK,general,offer_acceptance,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q11: Where can I get my CU Link (Student Card)?,"For local students, upon completing the online registration and fulfilling all admission condition(s), you can collect your CU Link from the CU Link Card Centre (https://culink.cuhk.edu.hk/collection-of-cu-link-student-card-for-new-postgraduates2/) , on or after your admission date. Non-local students are required to complete online document verification before collecting their CU Link ( Learn more (https://www.gs.cuhk.edu.hk/registration/visa-documents-submission) ). Upon completing the online document verification, please contact the CU Link Card Centre (https://culink.cuhk.edu.hk/collection-of-cu-link-student-card-for-new-postgraduates2/) after 7 working days to check the status and collection arrangements. Student Visa/Entry Permit",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q1: Do I need to apply for a student visa/entry permit to study at CUHK?,"Non-local students without the right of abode (https://www.immd.gov.hk/eng/services/right-of-abode-in-hksar.html) right to land (https://www.immd.gov.hk/eng/services/roa/term.html) in Hong Kong MUST obtain a valid visa/entry permit to study at CUHK. Part-time students with another valid visa/entry permit should consult the HKSAR Government's Immigration Department (https://www.immd.gov.hk/eng/index.html) about the need for a student visa/entry permit. Non-local students without a valid visa/entry permit at registration will NOT be allowed to register. Students are reminded that it is your responsibility to ensure you hold a valid visa/entry permit from the Immigration Department at all times during your stay in HKSAR, failing which you may face the risk of being prosecuted for breach of condition of stay.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
"Q2: I'm a non-local CUHK undergraduate. If admitted to a CUHK postgraduate programme, should I extend my current student visa or apply for a new one?","As situations vary, please consult the HKSAR Government's Immigration Department (https://www.immd.gov.hk/eng/index.html) (Tel: 852 2824-6111; email: enquiry@immd.gov.hk ) for advice.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q3: When should I apply for the student visa/entry permit?,The application process normally takes around 6‐8 weeks. The Immigration Department will take longer time during the summer peak season. It is the student’s responsibility to apply for their visa/entry permit in a timely manner and to apply for extension before its expiry. Admission Date Time to Apply 1 August At least 2 months before commencement of study 1 September At least 2 months before commencement of study 1 January At least 2 months before commencement of study,CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q4: How do I apply for a student visa/entry permit to study at CUHK?,"The Graduate School will assist with your application to the HKSAR Government's Immigration Department (https://www.immd.gov.hk/eng/index.html) upon admission. The handling fee should be settled by credit card on the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) . For details, see Visa and Related Matters for Non-local Students (https://www.gs.cuhk.edu.hk/student-portal/visa-for-non-local-students)",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q5: How long does the visa application process take?,"Upon receipt of the duly completed application forms, supporting documents and payment, the Immigration Department takes around 6-8 weeks to process the applications. Chinese Mainland students should allow sufficient time to obtain an Exit-entry Permit for Traveling to and from Hong Kong and Macao (EEP) 《來往港澳通行證》and Relevant Exit Endorsement 《相關赴港簽注》 from the local Public Security Bureau Office 《戶口所在地公安機關出入境管理部門》 where your household registration is kept. Visit the HKSAR Government's Immigration Department (https://www.immd.gov.hk/eng/index.html) website for more information.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q6: What documents are needed for the student visa application?,View the document list at Visa Application (https://www.gs.cuhk.edu.hk/registration/visa-application),CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q7: What financial proof is required for the student visa application?,Full-time research postgraduate students with Postgraduate Studentships (PGS) (https://www.gs.cuhk.edu.hk/admissions/scholarships-fees/studentships),CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
can submit their Letter of Award as financial proof.,Taught postgraduate students should demonstrate sufficient funds to support their living and studies in Hong Kong.,CUHK,general,general,low,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q8: Where should I submit my student visa application documents?,"Please login to the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) . Navigate to “Apply/Check” under “Visa for Study”, follow the on screen instructions to submit your student visa application.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q9: How can I check my student visa/entry permit application status?,Check the status on the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx),CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q10: How do I activate my student visa/entry permit in Hong Kong?,"For Chinese Mainland students: To activate the student visa, you should enter into Hong Kong with the student visa and the Exit-entry Permit for Traveling to and from Hong Kong and Macao (EEP)《來往港澳通行證》with Relevant Exit Endorsement《相關赴港簽注》. For other overseas students: To activate the student visa, you should enter into Hong Kong with the student visa and your passport.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Q11: Should I keep the landing slip after entering Hong Kong?,"A landing slip that states your personal information, arrival date, conditions and the duration of your stay in Hong Kong will be given to you at the Immigration Counter. Please keep the landing slip and upload the copy, together with copies of the visa label and travel document, to the Online Application System for Postgraduate Programmes (https://www.gradsch.cuhk.edu.hk/OnlineApp/login_email.aspx) to fulfil the admission condition.",CUHK,general,visa,high,https://www.gs.cuhk.edu.hk/admissions/faqs,2026-06-29
Am I Eligible to Apply for University Hall Living?,On-campus - Everything You Need to Know Off-campus - Accommodation Reference Information Estimated Living Cost Life in Hong Kong Information Hub for Non-Local Students Non-local Student Support Services Anti-Scam Anti-Deception Coordination Centre(ADCC) Important Notes for Non-local Applicants EdUHK Graduate School Connect with us! Sitemap Privacy Policy Disclaimer,EdUHK,general,housing,medium,https://gs.eduhk.hk/prospective/information-for-non-local-student/,2026-06-29
Why HKBU (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/why-hkbu),Teaching & Research (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/why-hkbu/teaching-and-research) Fields of Studies (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/why-hkbu/fields-of-studies) Alumni / Students Sharing (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/why-hkbu/alumni-students-sharing) Graduate Attributes (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/why-hkbu/graduate-attributes) Fields of Studies (https://ar.hkbu.edu.hk/tpg-admissions/programmes) Admission Requirements (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/admission-requirements) International Students (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/international-students),HKBU,general,general,low,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
Why HKBU (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/international-students/why-hkbu),"Student Visa Application (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/international-students/student-visa-application) Programmes (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/international-students/programmes) Fees, Scholarships & Financial Aid (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/international-students/fees-scholarships-and-financial-aid) FAQ (https://ar.hkbu.edu.hk/tpg-studies/faq/tpg-studies/faq)",HKBU,general,visa,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
How to Apply (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply),1. Plan Your Study - Admission Requirements (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/1-plan-your-study-admission-requirements) 1. Plan Your Study - Admission Timeline (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/1-plan-your-study-admission-timeline) 1. Plan Your Study - Scholarships and Financial Aids (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/1-plan-your-study-scholarships-and-financial-aids) 2. Submit Application - Documents Required (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/2-submit-application-documents-required) 2. Submit Application - Information for Non-local Applicants (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/2-submit-application-information-for-non-local-applicants) 3. Check Your Status - Application Management (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/3-check-your-status-application-management) 3. Check Your Status - Result Notification (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/3-check-your-status-result-notification) 4. Accept Offer - Offer Acceptance (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/4-accept-offer-offer-acceptance) 4. Accept Offer - Exemption/Transfer of Units (https://ar.hkbu.edu.hk/tpg-studies/prospective-student/how-to-apply/4-accept-offer-exemption-transfer-of-units),HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
Will I receive the original copy of the Admission Offer Letter?,The Admission Offer Letter will be uploaded to the Online Application System (https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf) (Application Details --> Application Status). Please download it from the system and print it out for reference (see Screen below). Only soft copy is provided. [Click to Enlarge],HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
How can my conditional offer be confirmed?,"Please refer to the Offer Condition(s) as listed on Online Application System (https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf) (Application Details -> Offer Condition) and complete the Actions for fulfilment of offer condition(s) by the deadline(s) as shown. Once the Actions for fulfilment of offer condition(s) has been completed and checked by the university, the Fulfilled column will be updated as ""Yes"". It normally takes about one month for the University to check and update the status. If there is any issue, you will be contacted by email. [Click to Enlarge]",HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
What should I do if I cannot meet the offer condition(s) by the given due date?,"If you fail to achieve the required degree award and/or obtain the required English test score and/or other test score by the due date(s) as specified in the offer conditions (OAS -> Application Details -> Offer Condition), please write to the Taught Postgraduate Studies Section at hkbu_tpg@hkbu.edu.hk and attach relevant and sufficient documentary proof to your email for our consideration. A refund of the paid admission confirmation fee (with an administration fee of HK$5,000 deducted) may be granted on a discretionary basis.",HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
What is an official transcript?,An official transcript is a certified statement of your academic record which lists all the courses and grades that you achieved during your undergraduate and/or postgraduate studies. The official transcript is issued by the institution of your awarded degree. Please refer to the “Guideline” on Online Application System (https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf) (Application Details -> Offer Condition) for details.,HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
When should I apply for the official transcript(s)?,"To allow sufficient time for validation of your academic qualification(s), please arrange the official transcript(s) to be sent to the Taught Postgraduate Studies Section as soon as possible. In the case that you need more time to make the arrangement, please ensure that the official transcript(s) shall reach the Taught Postgraduate Studies Section no later than 31 July or other due date as specified on your Admission Offer Letter. Your admission offer will be cancelled if we are unable to receive and validate your academic qualification(s) by the given due date.",HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
My official transcript issued by the awarding institution is not in English. Should I provide a translated version?,"If your official transcript(s) is in a language other than Chinese or English, please also provide a certified translated copy of the official transcript(s) in English.",HKBU,general,general,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
Would the University accept my transcript (student copy) for serving the purpose of providing the official transcript?,"No, student copy is not accepted. You should arrange with the awarding institution(s) to post the official transcript(s) in a sealed and stamped envelope directly to the Taught Postgraduate Studies Section.",HKBU,general,general,low,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
How can I know if the Taught Postgraduate Studies Section has received my official transcript(s) and/or other outstanding document(s)?,"Please refer to the Offer Condition status on Online Application System (https://iss.hkbu.edu.hk/amsappl_pg/welcome.jsf) (Application Details -> Offer Condition). Once the Actions for fulfilment of offer condition(s) has been completed and checked by the university, the Fulfilled column will be updated as ""Yes"". It normally takes about one month for the University to check and update the status. If there is any issue, you will be contacted by email. [Click to Enlarge]",HKBU,general,offer_acceptance,high,https://ar.hkbu.edu.hk/tpg-studies/faq/after-acceptance-of-admission-offer,2026-06-29
